time,key,event
1717357118.0371597,Key.shift,p
1717357118.1736507,'H',p
1717357118.204651,Key.shift,r
1717357118.233378,'h',r
1717357118.4350781,'e',p
1717357118.564485,'e',r
1717357118.728969,'l',p
1717357118.7965496,'l',r
1717357118.8793142,'l',p
1717357118.9658933,'l',r
1717357119.088284,'o',p
1717357119.1552708,'o',r
1717357119.2964356,Key.space,p
1717357119.3580723,Key.space,r
1717357119.515597,Key.shift,p
1717357119.6403487,'I',p
1717357119.7026787,'I',r
1717357119.7227254,Key.shift,r
1717357120.139012,"""'""",p
1717357120.2001028,"""'""",r
1717357120.5771177,'m',p
1717357120.6448932,'m',r
1717357120.8205376,Key.space,p
1717357120.8730607,Key.space,r
1717357120.9656074,'a',p
1717357121.0740519,'a',r
1717357121.2503176,'d',p
1717357121.3784523,'d',r
1717357121.4645324,'m',p
1717357121.4705417,'d',p
1717357121.5407205,'m',r
1717357121.5831199,'d',r
1717357122.1618173,Key.backspace,p
1717357122.2110949,Key.backspace,r
1717357122.478695,Key.backspace,p
1717357122.5401583,Key.backspace,r
1717357122.6282144,Key.backspace,p
1717357122.7060726,Key.backspace,r
1717357123.0025458,Key.backspace,p
1717357123.0731578,Key.backspace,r
1717357123.1367478,Key.shift,p
1717357123.2562084,'A',p
1717357123.353266,Key.shift,r
1717357123.36427,'a',r
1717357123.5644414,'d',p
1717357123.6431053,'d',r
1717357123.8092499,'a',p
1717357123.9189625,'a',r
1717357123.9307618,'m',p
1717357124.0004787,'m',r
1717357124.1074603,Key.space,p
1717357124.1788251,Key.space,r
1717357124.7207274,'a',p
1717357124.8341665,'a',r
1717357124.864722,'n',p
1717357124.9495354,'n',r
1717357125.0337534,'d',p
1717357125.1209507,'d',r
1717357125.1601589,Key.space,p
1717357125.2300882,Key.space,r
1717357125.3292181,Key.shift,p
1717357125.437639,'I',p
1717357125.4905448,Key.shift,r
1717357125.510315,'i',r
1717357126.6737509,"""'""",p
1717357126.733595,"""'""",r
1717357126.9272044,'m',p
1717357126.9985113,'m',r
1717357127.0953634,Key.space,p
1717357127.1736438,Key.space,r
1717357127.3049493,'f',p
1717357127.4152112,'f',r
1717357127.469147,'r',p
1717357127.526214,'o',p
1717357127.586556,'r',r
1717357127.6269646,'m',p
1717357127.6899886,'o',r
1717357127.742039,'m',r
1717357127.8521535,Key.space,p
1717357127.9256716,Key.space,r
1717357128.1541295,'t',p
1717357128.223291,'t',r
1717357128.331344,'h',p
1717357128.4178421,'h',r
1717357128.4692898,'e',p
1717357128.5738895,'e',r
1717357128.6086512,Key.space,p
1717357128.6856425,Key.space,r
1717357129.0264022,Key.backspace,p
1717357129.0941143,Key.backspace,r
1717357129.1825275,Key.backspace,p
1717357129.233469,Key.backspace,r
1717357129.3155622,Key.backspace,p
1717357129.33882,Key.backspace,r
1717357129.4113672,Key.backspace,p
1717357129.4543183,Key.backspace,r
1717357129.869396,Key.shift,p
1717357130.0599556,'K',p
1717357130.1231992,'K',r
1717357130.1573899,Key.shift,r
1717357130.2988446,'a',p
1717357130.426489,'a',r
1717357130.5623355,'z',p
1717357130.6649299,'z',r
1717357130.7669234,'a',p
1717357130.8807213,'a',r
1717357131.4083793,'k',p
1717357131.4889693,'k',r
1717357131.5924797,'h',p
1717357131.6796715,'h',r
1717357131.7174537,'s',p
1717357131.8172336,'s',r
1717357131.8843138,'t',p
1717357131.9543734,'t',r
1717357131.982967,'a',p
1717357132.0726128,'a',r
1717357132.1509967,'n',p
1717357132.2402177,'n',r
