time,key,event
1717356777.0965137,'h',p
1717356777.1792557,'h',r
1717356777.4170992,Key.space,p
1717356777.5034053,Key.space,r
1717356777.694352,'h',p
1717356777.7706735,'h',r
1717356777.9073331,'e',p
1717356778.0309834,'e',r
1717356778.103862,Key.space,p
1717356778.2002044,Key.space,r
1717356778.3434467,'h',p
1717356778.418806,'h',r
1717356778.5541666,'e',p
1717356778.6777658,'e',r
1717356778.7855518,Key.space,p
1717356778.8815808,Key.space,r
1717356779.7348866,'b',p
1717356779.8332267,'b',r
1717356780.8718657,Key.space,p
1717356780.9694855,Key.space,r
1717356781.061892,'d',p
1717356781.184962,'d',r
1717356781.2344985,'h',p
1717356781.2940686,'h',r
1717356781.4102292,'d',p
1717356781.5358942,'d',r
1717356781.598856,Key.space,p
1717356781.6912928,Key.space,r
1717356782.3710756,'h',p
1717356782.3959825,'g',p
1717356782.512745,'h',r
1717356782.5238001,'v',p
1717356782.5327497,'g',r
1717356782.6354163,'h',p
1717356782.6697092,'v',r
1717356782.6816814,'g',p
1717356782.73144,'h',r
1717356782.7465065,'g',r
1717356784.1538084,Key.space,p
1717356784.246192,Key.space,r
1717356784.3430767,'d',p
1717356784.4667866,'k',p
1717356784.504315,'d',r
1717356784.5432048,'j',p
1717356784.6437342,'k',r
1717356784.660296,'b',p
1717356784.704117,'j',r
1717356784.8397703,'b',r
1717356784.8527737,'k',p
1717356784.9534123,'k',r
1717356785.2911882,Key.space,p
1717356785.3907998,Key.space,r
1717356785.5234282,'k',p
1717356785.6227689,'j',p
1717356785.6748188,'k',r
1717356785.6877887,'j',r
1717356785.6996663,'b',p
1717356785.823636,'k',p
1717356785.845359,'b',r
1717356785.8948717,'k',r
1717356785.9277937,'d',p
1717356785.9943006,'d',r
1717356786.1125038,Key.space,p
1717356786.2186744,Key.space,r
1717356786.76117,'j',p
1717356786.8200903,'j',r
