time,key,event
1717352779.171616,Key.ctrl_l,p
1717352779.3278906,'\x01',p
1717352779.4351425,'\x01',r
1717352779.450767,Key.ctrl_l,r
1717352788.1234043,Key.backspace,p
1717352788.2439346,Key.backspace,r
1717352789.7132654,Key.shift,p
1717352789.932399,'T',p
1717352790.008508,'T',r
1717352790.0553842,Key.shift,r
1717352790.1335092,'h',p
1717352790.2074358,'h',r
1717352790.4261851,'e',p
1717352790.554537,'e',r
1717352790.5857868,Key.space,p
1717352790.6563838,Key.space,r
1717352791.1095092,'w',p
1717352791.1861038,'w',r
1717352792.142156,Key.backspace,p
1717352792.2364,Key.backspace,r
1717352792.7051513,'q',p
1717352792.799366,'q',r
1717352792.8618655,'u',p
1717352792.9961925,'i',p
1717352793.0615659,'u',r
1717352793.0988367,'i',r
1717352793.1769629,'c',p
1717352793.2783067,'c',r
1717352793.3720572,'k',p
1717352793.4332404,'k',r
1717352793.714494,Key.space,p
1717352793.779934,Key.space,r
1717352795.096029,'b',p
1717352795.191783,'b',r
1717352795.2854788,'r',p
1717352795.3605254,'r',r
1717352795.5011525,'e',p
1717352795.608585,'e',r
1717352797.9673402,'w',p
1717352798.0515103,'w',r
1717352798.0515103,'n',p
1717352798.1507926,'n',r
1717352798.2601678,Key.space,p
1717352798.3506606,Key.space,r
1717352799.0072012,'f',p
1717352799.146537,'f',r
1717352799.146537,'o',p
1717352799.2159247,'o',r
1717352799.2936783,'r',p
1717352799.3982208,'r',r
1717352799.8812082,Key.backspace,p
1717352799.9477005,Key.backspace,r
1717352800.0258145,'x',p
1717352800.112803,'x',r
1717352800.2533748,Key.space,p
1717352800.3427844,Key.space,r
1717352801.1424015,'j',p
1717352801.2258983,'j',r
1717352801.3196,'u',p
1717352801.392948,'u',r
1717352801.517905,'m',p
1717352801.6251376,'m',r
1717352802.104462,'p',p
1717352802.190241,'p',r
1717352802.2527401,'s',p
1717352802.3392742,'s',r
1717352802.4017754,Key.space,p
1717352802.5044909,Key.space,r
1717352803.442488,'o',p
1717352803.5060203,'o',r
1717352803.7864113,'v',p
1717352803.8385978,'v',r
1717352803.8856187,'e',p
1717352804.001468,'e',r
1717352804.0952842,'r',p
1717352804.1540456,'r',r
1717352804.2014923,Key.space,p
1717352804.286275,Key.space,r
1717352804.3956528,'l',p
1717352804.5006275,'l',r
1717352804.5631552,'a',p
1717352804.6653433,'a',r
1717352805.0559185,'z',p
1717352805.1790562,'z',r
1717352805.194614,'y',p
1717352805.2665756,'y',r
1717352805.4072003,Key.space,p
1717352805.5141382,Key.space,r
1717352806.438825,'d',p
1717352806.5443723,'d',r
1717352806.5756269,'o',p
1717352806.6458287,'o',r
1717352806.7552156,'c',p
1717352806.8110902,'c',r
1717352807.8615587,Key.backspace,p
1717352807.9427037,Key.backspace,r
1717352808.2552612,'g',p
1717352808.3246298,'g',r
