time,key,event
1717356995.7484825,Key.shift,p
1717356996.2535985,'H',r
1717356996.257598,Key.shift,r
1717356997.6508749,Key.space,p
1717356997.7503145,Key.space,r
1717356998.4187434,'e',p
1717356998.5174809,'e',r
1717356998.9914184,Key.space,p
1717356999.0696049,Key.space,r
1717356999.4986076,'l',p
1717356999.537623,'l',r
1717356999.6426082,'l',p
1717356999.7466354,'l',r
1717357000.2606103,'o',p
1717357000.3246071,'o',r
1717357000.49461,Key.space,p
1717357000.5836062,Key.space,r
1717357001.4267259,'w',p
1717357001.5296986,'w',r
1717357001.579661,'o',p
1717357001.6498437,'o',r
1717357001.7938838,'r',p
1717357001.9083934,'r',r
1717357002.0238082,'d',p
1717357002.1323988,'d',r
1717357002.1826754,'l',p
1717357002.287127,'l',r
1717357002.5589397,Key.space,p
1717357002.630597,Key.space,r
1717357003.26354,'m',p
1717357003.352918,'m',r
1717357003.4971292,'y',p
1717357003.566702,'y',r
1717357003.7020214,Key.space,p
1717357003.7813995,Key.space,r
1717357003.8858712,'n',p
1717357003.9606848,'n',r
1717357004.0409908,'a',p
1717357004.147682,'a',r
1717357004.1557007,'m',p
1717357004.220059,'m',r
1717357004.3539774,'r',p
1717357004.4249556,'r',r
1717357005.246586,Key.backspace,p
1717357005.3245773,Key.backspace,r
1717357005.3395777,'e',p
1717357005.4555821,'e',r
1717357005.5305564,Key.space,p
1717357005.6102898,Key.space,r
1717357005.8922336,'i',p
1717357005.9678867,'i',r
1717357006.0470626,'s',p
1717357006.1549346,'s',r
1717357006.217206,Key.space,p
1717357006.2968857,Key.space,r
1717357006.4295044,'k',p
1717357006.5116751,'k',r
1717357006.5784938,'e',p
1717357006.682387,'e',r
1717357006.7328155,'n',p
1717357006.814191,'n',r
1717357007.0596592,'d',p
1717357007.17729,'d',r
1717357007.3079658,'a',p
1717357007.4183881,'a',r
1717357007.423973,'l',p
1717357007.497807,'l',r
1717357007.57189,'l',p
1717357007.6563542,'l',r
1717357007.8311281,Key.space,p
1717357007.919934,Key.space,r
1717357008.8472993,'a',p
1717357008.9660742,'a',r
1717357008.995607,'n',p
1717357009.069362,'n',r
1717357009.1599102,'d',p
1717357009.2698421,'d',r
1717357009.3399503,Key.space,p
1717357009.4109077,Key.space,r
1717357009.5390832,'i',p
1717357009.617934,'i',r
1717357009.7482767,'m',p
1717357009.8122752,'m',r
1717357010.1174467,Key.space,p
1717357010.1809309,Key.space,r
1717357010.564824,'f',p
1717357010.6890695,'f',r
1717357010.8136764,'r',p
1717357010.8846695,'o',p
1717357010.9376283,'r',r
1717357010.9834182,'m',p
1717357011.0423436,'o',r
1717357011.098005,'m',r
1717357011.2234955,Key.space,p
1717357011.2970762,Key.space,r
1717357011.5462294,Key.shift,p
1717357011.685865,'A',p
1717357011.7697053,Key.shift,r
1717357011.7904353,'a',r
1717357011.9342184,'u',p
1717357011.9839833,'u',r
1717357012.5174682,'s',p
1717357012.6017013,'s',r
1717357012.8066332,'t',p
1717357012.870206,'t',r
1717357013.0455644,'r',p
1717357013.139944,'r',r
1717357013.3086631,'a',p
1717357013.4338374,'a',r
1717357013.4587264,'l',p
1717357013.5331023,'l',r
1717357013.6923866,'i',p
1717357013.7627404,'i',r
1717357014.0757327,'a',p
1717357014.205723,'a',r
