time,key,event
1717353012.531755,'t',p
1717353012.6182797,'t',r
1717353015.1197677,'h',p
1717353015.1937134,'h',r
1717353016.5701568,'e',p
1717353016.6722372,'e',r
1717353017.906834,Key.space,p
1717353018.0007913,Key.space,r
1717353020.1294591,'q',p
1717353020.2587411,'q',r
1717353021.3227522,'u',p
1717353021.4081762,'u',r
1717353022.4409604,'i',p
1717353022.537651,'i',r
1717353023.6641119,'c',p
1717353023.8293016,'c',r
1717353024.8472002,'k',p
1717353024.9485366,'k',r
1717353025.996083,Key.space,p
1717353026.095695,Key.space,r
1717353027.160118,'b',p
1717353027.2426972,'b',r
1717353028.2437465,'r',p
1717353028.386266,'r',r
1717353029.2624671,'o',p
1717353029.3688316,'o',r
1717353030.3563333,'w',p
1717353030.4651022,'w',r
1717353031.765639,'n',p
1717353031.8314683,'n',r
1717353032.800726,Key.space,p
1717353032.8617525,Key.space,r
1717353033.6919246,'f',p
1717353033.7741165,'f',r
1717353034.48159,'o',p
1717353034.5412867,'o',r
1717353035.2308526,'x',p
1717353035.3835623,'x',r
1717353035.930095,Key.space,p
1717353036.0194514,Key.space,r
1717353036.647788,'j',p
1717353036.7173388,'j',r
1717353037.2824285,'u',p
1717353037.3493795,'u',r
1717353037.9286394,'m',p
1717353037.9981182,'m',r
1717353038.5780444,'p',p
1717353038.662547,'p',r
1717353039.208399,'s',p
1717353039.3405323,'s',r
1717353039.9196723,Key.space,p
1717353039.98984,Key.space,r
1717353040.616652,'o',p
1717353040.6797543,'o',r
1717353041.2198396,'v',p
1717353041.319637,'v',r
1717353041.8202496,'e',p
1717353041.9355118,'e',r
1717353042.4348147,'r',p
1717353042.5171049,'r',r
1717353043.0796156,Key.space,p
1717353043.1504483,Key.space,r
1717353043.6668808,'t',p
1717353043.746861,'t',r
1717353044.2647846,'h',p
1717353044.3300219,'h',r
1717353044.8785026,'e',p
1717353044.9763262,'e',r
1717353045.4778516,Key.space,p
1717353045.5435717,Key.space,r
1717353046.0312524,'l',p
1717353046.0920484,'l',r
1717353046.6253119,'a',p
1717353046.7083035,'a',r
1717353047.151244,'z',p
1717353047.253074,'z',r
1717353047.7121215,'y',p
1717353047.7716193,'y',r
1717353048.2422738,Key.space,p
1717353048.3031156,Key.space,r
1717353048.7618337,'f',p
1717353048.8504517,'f',r
1717353049.3069541,'o',p
1717353049.382094,'o',r
1717353049.853939,'d',p
1717353049.9469604,'d',r
