time,key,event
1717922124.2439616,Key.shift,p
1717922124.3839605,'H',p
1717922124.4062917,Key.shift,r
1717922124.4517193,'h',r
1717922124.5605047,'e',p
1717922124.7103674,'e',r
1717922125.178983,'l',p
1717922125.2458453,'l',r
1717922125.3089657,'l',p
1717922125.396003,'l',r
1717922125.506516,'o',p
1717922125.5639277,'o',r
1717922125.6916268,Key.space,p
1717922125.7623649,Key.space,r
1717922125.8259172,'w',p
1717922125.910708,'o',p
1717922125.949635,'w',r
1717922125.994515,'o',r
1717922126.1365993,'r',p
1717922126.2429051,'r',r
1717922126.8369417,'l',p
1717922126.9093661,'l',r
1717922127.0512547,'d',p
1717922127.1104932,'d',r
1717922127.9267442,Key.space,p
1717922127.9914436,Key.space,r
1717922128.1501231,'t',p
1717922128.2058253,'t',r
1717922128.3465526,'h',p
1717922128.4050083,'h',r
1717922128.5316997,'i',p
1717922128.5890708,'i',r
1717922128.699649,'s',p
1717922128.786412,'s',r
1717922128.8494332,Key.space,p
1717922128.9044785,Key.space,r
1717922129.031835,'i',p
1717922129.1011255,'i',r
1717922129.1813874,'s',p
1717922129.253954,'s',r
1717922129.300855,Key.space,p
1717922129.3402267,Key.space,r
1717922129.5131383,'m',p
1717922129.5861943,'m',r
1717922129.7935596,'y',p
1717922129.8630068,'y',r
1717922130.0278413,Key.space,p
1717922130.1154695,Key.space,r
1717922130.243497,'t',p
1717922130.3174255,'t',r
1717922130.3795657,'e',p
1717922130.464114,'e',r
1717922130.6527243,'s',p
1717922130.715854,'s',r
1717922130.858176,'t',p
1717922130.9104931,'t',r
1717922131.0737467,Key.space,p
1717922131.1491275,Key.space,r
1717922131.6639385,'a',p
1717922131.7592545,'a',r
1717922131.9159102,'c',p
1717922131.9941268,'c',r
1717922132.0904496,'c',p
1717922132.1612248,'c',r
1717922132.2079961,'o',p
1717922132.294043,'o',r
1717922132.4215076,'u',p
1717922132.4936986,'u',r
1717922132.8236985,'n',p
1717922132.9093587,'n',r
1717922132.9417713,'t',p
1717922133.0399802,'t',r
