time,key,event
1717939844.9566367,Key.cmd,p
1717939845.0352676,Key.cmd,r
1717939845.6568167,'h',p
1717939845.7193644,'h',r
1717939845.7862444,'e',p
1717939845.918318,'e',r
1717939846.2333846,'l',p
1717939846.3122597,'l',r
1717939846.4070218,'l',p
1717939846.510438,'l',r
1717939846.6490667,'o',p
1717939846.7153444,'o',r
1717939846.8614979,Key.space,p
1717939846.964486,Key.space,r
1717939847.1886144,'w',p
1717939847.3305728,'w',r
1717939847.5814006,'o',p
1717939847.644312,'o',r
1717939847.7384765,'r',p
1717939847.817253,'r',r
1717939847.8956444,'l',p
1717939848.005618,'l',r
1717939848.0907757,'d',p
1717939848.1940775,'d',r
1717939848.225506,Key.space,p
1717939848.3197098,Key.space,r
1717939848.691974,'t',p
1717939848.7811313,'t',r
1717939848.8924568,'h',p
1717939848.9697752,'h',r
1717939849.1269064,'i',p
1717939849.2211728,'i',r
1717939849.3933413,'s',p
1717939849.4558806,'s',r
1717939849.5813136,Key.space,p
1717939849.659843,Key.space,r
1717939849.7696564,'i',p
1717939849.848186,'i',r
1717939849.999455,'s',p
1717939850.05799,'s',r
1717939850.121131,Key.space,p
1717939850.19947,Key.space,r
1717939850.340519,'t',p
1717939850.419095,'t',r
1717939850.5425718,'h',p
1717939850.636833,'h',r
1717939850.9985166,Key.backspace,p
1717939851.0545862,Key.backspace,r
1717939851.1422296,Key.backspace,p
1717939851.228655,Key.backspace,r
1717939852.8688924,'t',p
1717939852.9782665,'t',r
1717939853.0708709,'h',p
1717939853.169369,'h',r
1717939853.249944,'e',p
1717939853.3261893,'e',r
1717939853.341835,Key.space,p
1717939853.436042,Key.space,r
1717939853.55161,'b',p
1717939853.656903,'b',r
1717939853.7041047,'e',p
1717939853.8083944,'e',r
1717939853.9494565,'s',p
1717939854.072004,'s',r
1717939854.1189423,'t',p
1717939854.2112248,'t',r
1717939854.3819942,Key.space,p
1717939854.4761822,Key.space,r
1717939855.68365,Key.cmd,p
1717939855.8253026,Key.cmd,r
1717939856.2324274,Key.cmd,p
1717939856.3589792,Key.cmd,r
