time,key,event
1717957544.1843104,Key.shift,p
1717957544.5311067,'T',p
1717957544.602474,'T',r
1717957544.6695302,Key.shift,r
1717957544.846851,'h',p
1717957544.9033084,'h',r
1717957545.067051,'i',p
1717957545.133344,'i',r
1717957545.1962707,'s',p
1717957545.2834377,'s',r
1717957545.3147535,Key.space,p
1717957545.3707762,Key.space,r
1717957545.6058047,'i',p
1717957545.6970923,'i',r
1717957545.7598715,'s',p
1717957545.8731418,'s',r
1717957545.8965468,Key.space,p
1717957545.9486392,Key.space,r
1717957546.074089,'m',p
1717957546.1632137,'m',r
1717957546.3062413,'y',p
1717957546.3749769,'y',r
1717957546.5537462,Key.space,p
1717957546.6124344,Key.space,r
1717957546.7383072,'a',p
1717957546.8274968,'a',r
1717957546.9686189,'c',p
1717957547.0599818,'c',r
1717957547.155486,'c',p
1717957547.242311,'c',r
1717957547.306544,'o',p
1717957547.4402509,'o',r
1717957547.5035064,'u',p
1717957547.5789013,'u',r
1717957547.7362022,'n',p
1717957547.8103075,'n',r
1717957547.9366548,'t',p
1717957548.0404854,'t',r
