time,key,event
1717928409.3311307,'h',p
1717928409.3997514,'h',r
1717928409.4987319,'w',p
1717928409.6009402,'w',r
1717928410.1158144,'l',p
1717928410.1678214,'l',r
1717928410.2472608,'l',p
1717928410.348887,'l',r
1717928410.7292125,'o',p
1717928410.8152218,'o',r
1717928410.9890325,Key.space,p
1717928411.0640287,Key.space,r
1717928411.2536824,'w',p
1717928411.3933814,'w',r
1717928411.3933814,'o',p
1717928411.4652803,'o',r
1717928411.5751264,'r',p
1717928411.678178,'r',r
1717928411.7420468,'l',p
1717928411.8601768,'l',r
1717928411.955146,'d',p
1717928412.0603778,'d',r
1717928412.1695414,Key.space,p
1717928412.2609153,Key.space,r
1717928412.949757,'m',p
1717928413.073691,'m',r
1717928413.2152088,'y',p
1717928413.291526,'y',r
1717928413.4332752,Key.space,p
1717928413.5021074,Key.space,r
1717928413.5871596,'n',p
1717928413.6751976,'n',r
1717928413.7066362,'a',p
1717928413.7901683,'a',r
1717928413.805747,'m',p
1717928413.922023,'m',r
1717928414.0002487,'e',p
1717928414.0878212,'e',r
1717928414.1347084,Key.space,p
1717928414.1901388,Key.space,r
1717928414.3013105,'i',p
1717928414.3862925,'i',r
1717928414.4024792,'s',p
1717928414.5037467,'s',r
1717928414.551548,Key.space,p
1717928414.6197376,Key.space,r
1717928415.0596707,Key.shift,p
1717928415.2180974,'H',p
1717928415.2869773,Key.shift,r
1717928415.3023274,'h',r
1717928415.4584777,'a',p
1717928415.5519202,'a',r
1717928415.6938894,'s',p
1717928415.7519667,'s',r
1717928415.8938618,'a',p
1717928415.9681766,'a',r
1717928416.0164135,'n',p
1717928416.116143,'n',r
