time,key,event
1717941485.2206817,Key.esc,p
1717941485.2226899,Key.esc,r
1717941485.3645082,'b',p
1717941485.4088542,'b',r
1717941485.7259786,'e',p
1717941485.8360488,'e',r
1717941485.962126,'c',p
1717941486.0656803,'c',r
1717941486.2460296,'a',p
1717941486.3625417,'a',r
1717941486.4919724,'u',p
1717941486.5400069,'u',r
1717941491.5645616,'s',p
1717941491.6615787,'s',r
1717941491.8537455,'e',p
1717941492.0124614,'e',r
1717941494.567887,'i',p
1717941494.6403995,'i',r
1717941494.8344061,Key.space,p
1717941494.9129848,Key.space,r
1717941495.0701697,'w',p
1717941495.1487787,'w',r
1717941495.2743363,'i',p
1717941495.3528986,'i',r
1717941495.5907357,'l',p
1717941495.6858752,'l',r
1717941495.9251027,Key.space,p
1717941495.9568698,Key.space,r
1717941496.224106,'n',p
1717941496.2868671,'n',r
1717941496.3817475,'o',p
1717941496.477044,'o',r
1717941496.8753822,'t',p
1717941496.9555883,'t',r
1717941497.0181475,Key.space,p
1717941497.0973141,Key.space,r
1717941497.5581102,'g',p
1717941497.6532214,'g',r
1717941498.3214104,'i',p
1717941498.4166813,'i',r
1717941498.4521005,'v',p
1717941498.5431542,'v',r
1717941498.6538198,'e',p
1717941498.7499106,'e',r
1717941498.8293972,Key.space,p
1717941498.9085283,Key.space,r
1717941499.4005086,'y',p
1717941499.525704,'y',r
1717941499.5413284,'o',p
1717941499.63573,'o',r
1717941499.7454329,'u',p
1717941499.8239594,'u',r
1717941499.921297,Key.space,p
1717941499.986408,Key.space,r
