time,key,event
1717951866.5434864,'h',p
1717951866.6090393,'h',r
1717951866.7667215,'e',p
1717951866.8400948,'e',r
1717951866.9506805,'l',p
1717951867.0252733,'l',r
1717951867.1057847,'l',p
1717951867.1981502,'l',r
1717951867.3175733,'o',p
1717951867.3889313,'o',r
1717951867.5467627,Key.space,p
1717951867.6067684,Key.space,r
1717951868.1318803,'f',p
1717951868.2356627,'f',r
1717951868.583043,'r',p
1717951868.6682787,'r',r
1717951868.7313335,'o',p
1717951868.8494701,'m',p
1717951868.9063287,'o',r
1717951868.9673514,'m',r
1717951869.079635,Key.space,p
1717951869.1830826,Key.space,r
1717951869.6457028,Key.shift,p
1717951869.8885903,'K',p
1717951869.9640863,'K',r
1717951869.9640863,Key.shift,r
1717951870.1536713,'a',p
1717951870.261721,'a',r
1717951870.389504,'z',p
1717951870.5148542,'z',r
1717951870.6147792,'a',p
1717951870.6808484,'a',r
1717951870.7915633,'k',p
1717951870.927494,'k',r
1717951870.9593623,'h',p
1717951871.0313954,'h',r
1717951871.5779572,'s',p
1717951871.694435,'s',r
1717951871.7735572,'t',p
1717951871.8098173,'t',r
1717951871.9077086,'a',p
1717951872.0101755,'a',r
1717951873.4643753,'n',p
1717951873.5250218,'n',r
1717951873.6337833,Key.space,p
1717951873.7250564,Key.space,r
1717951873.8977544,'o',p
1717951874.0344899,'o',r
1717951874.2270126,'v',p
1717951874.3193803,'v',r
1717951874.3673081,'e',p
1717951874.51632,'e',r
1717951874.5953996,'r',p
1717951874.6858006,'r',r
1717951874.7336156,Key.space,p
1717951874.8514283,Key.space,r
1717951875.335394,'t',p
1717951875.4173498,'t',r
1717951875.5124795,'h',p
1717951875.614079,'h',r
1717951875.6935606,'e',p
1717951875.798358,'e',r
1717951875.8944917,Key.space,p
1717951875.9812424,Key.space,r
1717951878.203805,'y',p
1717951878.2919972,'y',r
1717951878.3876598,'e',p
1717951878.474571,'e',r
1717951878.6805084,'a',p
1717951878.7906928,'a',r
1717951879.0272205,'r',p
1717951879.090356,'r',r
1717951879.3038409,'s',p
1717951879.4533467,'s',r
