time,key,event
1717936180.3437126,Key.shift,p
1717936180.5421834,'T',p
1717936180.6083248,'T',r
1717936180.6679578,Key.shift,r
1717936180.7133443,'h',p
1717936180.800894,'h',r
1717936181.0068955,'e',p
1717936181.1305876,'e',r
1717936181.1940815,Key.space,p
1717936181.2713249,Key.space,r
1717936181.6161158,'q',p
1717936181.7148366,'q',r
1717936181.7788467,'u',p
1717936181.8969355,'i',p
1717936181.9744952,'u',r
1717936182.0284638,'i',r
1717936182.076206,'c',p
1717936182.180384,'c',r
1717936182.1966476,'k',p
1717936182.2962675,'k',r
1717936182.4230225,Key.space,p
1717936182.5119917,Key.space,r
1717936183.3666317,'b',p
1717936183.4423814,'b',r
1717936183.480478,'r',p
1717936183.580573,'r',r
1717936183.8126745,'o',p
1717936183.9234612,'o',r
1717936184.0050259,'w',p
1717936184.107391,'w',r
1717936185.0338326,Key.space,p
1717936185.1053574,Key.space,r
1717936185.4696987,'f',p
1717936185.5713058,'f',r
1717936185.5913594,'o',p
1717936185.7021315,'o',r
1717936185.971187,'r',p
1717936186.0845678,'r',r
1717936186.518351,'x',p
1717936186.5857341,'x',r
1717936186.6648161,Key.backspace,p
1717936186.7657094,Key.backspace,r
1717936186.9074557,Key.backspace,p
1717936186.9986546,Key.backspace,r
1717936187.0309846,'x',p
1717936187.1334636,'x',r
1717936187.2593377,Key.space,p
1717936187.334788,Key.space,r
1717936188.6833675,'j',p
1717936188.7466702,'j',r
1717936188.840939,'u',p
1717936188.905628,'u',r
1717936189.0246167,'m',p
1717936189.1274152,'m',r
1717936189.2555392,'p',p
1717936189.359489,'p',r
1717936189.4400036,'s',p
1717936189.5435345,Key.space,p
1717936189.5620816,'s',r
1717936189.626318,Key.space,r
1717936190.5561206,'o',p
1717936190.6409566,'o',r
1717936190.6722155,'v',p
1717936190.7729585,'v',r
1717936190.8360755,'e',p
1717936190.9731557,'e',r
1717936191.058125,'r',p
1717936191.124114,'r',r
1717936191.1553724,Key.space,p
1717936191.2364693,Key.space,r
1717936191.3776667,'t',p
1717936191.4550204,'t',r
1717936191.5514452,'h',p
1717936191.6382468,'h',r
1717936191.7012618,'e',p
1717936191.8022387,'e',r
1717936191.8129559,Key.space,p
1717936191.8694808,Key.space,r
1717936191.996932,'l',p
1717936192.0857916,'l',r
1717936192.1333835,'a',p
1717936192.2209418,'a',r
1717936192.4287956,'z',p
1717936192.5347974,'z',r
1717936192.6206899,'u',p
1717936192.6857984,'u',r
1717936193.0010822,Key.backspace,p
1717936193.0831084,Key.backspace,r
1717936193.2660375,'y',p
1717936193.3283262,'y',r
1717936193.778515,Key.space,p
1717936193.8320334,Key.space,r
1717936194.618191,'d',p
1717936194.697282,'d',r
1717936194.712446,'o',p
1717936194.811297,'o',r
1717936194.8748634,'g',p
1717936194.962903,'g',r
